Ground Truth,Modified RAG Answer,Traditional RAG Answer,BERTScore for Modified,Exact Match for Modified,BLEU Score for Modified,ROUGE-1 for Modified,ROUGE-2 for Modified,ROUGE-L for Modified,BERTScore for Traditional,Exact Match for Traditional,BLEU Score for Traditional,ROUGE-1 for Traditional,ROUGE-2 for Traditional,ROUGE-L for Traditional
Jackie Chan,Jackie Chan attended a torch celebration in China,Jackie Chan attended the torch celebration in China.,0.928133428,0,0.058739491,0.4,0.25,0.4,0.922394037,0,0.058739491,0.4,0.25,0.4
May-04,May-04,"The torch reached Sanya, Hainan on May 4.",0.999999523,1,0.316227766,1,1,1,0.843815506,0,0.02777619,0.4,0.25,0.4
April.,"The last time the torch had been in China was on March 31, 2010, when it arrived in Sanya, Hainan.",The torch returned to China for the first time since April.,0.863570869,0,0,0,0,0,0.890696764,0,0.018850319,0.166666667,0,0.166666667
IOC,Chinese immigrants attended the celebrations in support of the Games.,Chinese immigrants attended the celebrations.,0.826455295,0,0,0,0,0,0.843452871,0,0,0,0,0
Jackie Chan.,Jane Birkin attended the celebrations.,Thupten Gyatso attended the celebrations in China.,0.868580222,0,0,0,0,0,0.830657065,0,0,0,0,0
partial and censored,Western reporters have accused Chinese media of being biased and one-sided in their coverage of the torch relay events.,Western reporters have accused Chinese media coverage of being partial and censored.,0.822963774,0,0.010182426,0.086956522,0,0.086956522,0.84970665,0,0.036020803,0.4,0.307692308,0.4
biased.,They have accused Western media of being biased towards China and of not presenting a fair picture of events.,Chinese supporters have accused Western media of demonizing China during their coverage of the torch relays.,0.873111069,0,0,0.1,0,0.1,0.871930242,0,0,0,0,0
Libération,Libération,Libération was accused of being biased by Xinhua.,1.000000358,1,0.177827941,1,1,1,0.901025951,0,0.02777619,0.363636364,0.222222222,0.363636364
media coverage,The human rights abuses in North Korea were under scrutiny.,The human rights violations in North Korea were under scrutiny.,0.838791847,0,0,0,0,0,0.839372694,0,0,0,0,0
censored,"The coverage in China was reported to be partial and censored, according to Western reporters in Beijing.",The coverage in China is reported to be partial and censored.,0.816762805,0,0,0.111111111,0,0.111111111,0.824429095,0,0,0.166666667,0,0.166666667
Reporters Without Borders,The Tibetan Independence Movement,Reporters Without Borders,0.788984358,0,0,0,0,0,1.000000238,1,0.562341325,1,1,1
Libération,The Chinese State Press criticized the French newspaper Libération for being biased in its reporting on the Olympic torch relay.,Libération was criticised by the Chinese State press agency,0.802017093,0,0.009629944,0.173913043,0.095238095,0.173913043,0.903140962,0,0.023980297,0.333333333,0.2,0.333333333
saboteurs,support a handful of saboteurs,support a handful of saboteurs,0.845498323,0,0.053728497,0.333333333,0,0.333333333,0.845498502,0,0.053728497,0.333333333,0,0.333333333
the more disruptive protesters,The Chinese media focused on human rights protesters who were intent on disrupting and sabotaging the Beijing Olympic Games.,The Chinese media focused on calling for calm and urging people to express their patriotic enthusiasm in an orderly and legal manner.,0.875537574,0,0.012109013,0.260869565,0,0.173913043,0.843122661,0,0,0.076923077,0,0.076923077
condemned the protests,people who condemned the protests,people who were being biased,0.913146317,0,0.265914795,0.75,0.666666667,0.75,0.85449791,0,0,0,0,0
Marie-José Pérec,Marie-José Pérec,Marie-José Pérec,0.999999881,1,0.316227766,1,1,1,0.999999881,1,0.316227766,1,1,1
radicals,Radicals,"Xinhua described protesters as ""radicals"" who ""trampled human rights.""",0.864109159,0,0,1,0,1,0.808909774,0,0,0.2,0,0.2
Marie-José Pérec,Marie-José Pérec expressed understanding and support for the protestors.,Marie-José Pérec expressed understanding and support for the protestors.,0.940426588,0,0.050712153,0.533333333,0.461538462,0.533333333,0.940426588,0,0.050712153,0.533333333,0.461538462,0.533333333
Xinhua,The publication said that protesters were trampling human rights.,The publication did not say that protesters were trampling human rights.,0.798951924,0,0,0,0,0,0.791053295,0,0,0,0,0
spirit of Olympics,Indian torch participants vowed to run for what?,Vowed to run,0.827531695,0,0,0,0,0,0.832086623,0,0,0,0,0
sports and politics,They claim that affirmative action harms minorities and should not be mixed with academic preparation.,They claim that affirmative action does more harm than good to minorities and should be ignored.,0.818034351,0,0.013217948,0.111111111,0,0.111111111,0.8111431,0,0.012300686,0.105263158,0,0.105263158
run for spirit of Olympics,Vowed to protest against the PRC crackdown in Tibet,Vowed to protest against the PRC crackdown,0.836252093,0,0,0,0,0,0.831720769,0,0,0,0,0
sports and politics,Torchbearers said motorcycles and police officers should not be combined.,Torchbearers said that motorcycles and uniformed police officers should not be combined.,0.811941087,0,0.021105341,0.153846154,0,0.153846154,0.807484984,0,0.017033186,0.133333333,0,0.133333333
The Daily Telegraph,"The Telegraph published an opinion piece by the Chinese ambassador to the United Kingdom, Fu Ying","The Telegraph published an opinion piece by the Chinese ambassador to the United Kingdom, Fu Ying",0.859011412,0,0.014628064,0.210526316,0,0.210526316,0.859011412,0,0.014628064,0.210526316,0,0.210526316
Libération,Libération was accused of bias by the Chinese media.,Libération,0.906687856,0,0.023980297,0.333333333,0.2,0.333333333,1.000000358,1,0.177827941,1,1,1
Western media bias.,Some Chinese officials have accused Western media of bias in their reporting on the torch relay and China's response to it.,Western media has been accused by some Chinese of demonizing China during their coverage of the torch relays.,0.878347158,0,0.019316954,0.24,0.086956522,0.24,0.872725844,0,0.022844115,0.19047619,0.105263158,0.19047619
Fu Ying,The Chinese ambassador to the U.K. was Stephen Smith.,The Chinese ambassador to the U.K. was Nirupama Sen.,0.836826921,0,0,0,0,0,0.825356066,0,0,0,0,0
The Daily Telegraph,Libération,The newspaper that published these accusations was Libération.,0.756115019,0,0,0,0,0,0.82346946,0,0.02777619,0.166666667,0,0.166666667
Libération,The New York Times was also accused of bias by some Chinese officials.,"Libération was accused of bias by Xinhua, the Chinese State press agency.",0.760465443,0,0,0,0,0,0.883164465,0,0.017033186,0.266666667,0.153846154,0.266666667
CNN,CNN,CNN,1.000000834,1,0.177827941,1,0,1,1.000000834,1,0.177827941,1,0,1
CNN,The French newspaper Libération was accused of bias by Xinhua on April 17.,Xinhua accused CNN of biased coverage on April 17,0.811088085,0,0,0,0,0,0.807838321,0,0.023980297,0.2,0,0.2
the Chinese government,The Chinese government called on CNN to apologize for allegedly insulting the Chinese people and attempting to incite them against the government.,China's government called on CNN to apologize for allegedly insulting the Chinese people and attempting to incite them against the government.,0.876710296,0,0.024178615,0.24,0.173913043,0.24,0.856404901,0,0.021377724,0.24,0.086956522,0.24
The challenges of reporting in China,"BBC published an article entitled ""The challenges of reporting in China""","BBC published an article entitled ""The challenges of reporting in China"" several days earlier.",0.904480517,0,0.234623503,0.705882353,0.666666667,0.705882353,0.909766853,0,0.177783512,0.6,0.555555556,0.6
Paul Danahar,Chinese censors,Paul Danahar,0.812505722,0,0,0,0,0,1,1,0.316227766,1,1,1
"(1, 300)",The number of supporters was much more than the number of protesters at both buildings.,1200 police officers and 3000 other people,0.831720173,0,0,0,0,0,0.83151108,0,0,0,0,0
Paul Danahar,Chinese people gained access to the BBC News website for the first time after years of strict censorship.,Paul Danahar commented that Chinese people can look at the BBC news site for the first time.,0.804232955,0,0,0,0,0,0.881323755,0,0.024325426,0.210526316,0.117647059,0.210526316
Tibet,BBC was banned from reporting in Tibet.,BBC was banned from reporting in Tibet.,0.827466428,0,0,0.25,0,0.25,0.827466428,0,0,0.25,0,0.25
People's Daily,Libertation,"The People's Daily published ""Overseas Chinese rally against biased media coverage"" on April 20.",0.757567167,0,0,0,0,0,0.826049387,0,0.030206205,0.333333333,0.25,0.333333333
People's Daily,Libertation,The People's Daily published a report about the Chinese rallying against media bias.,0.757567167,0,0,0,0,0,0.843668818,0,0.03285702,0.352941176,0.266666667,0.352941176
an anti-CNN website,"The Chinese government was reported running on April 4th, 2008.",The Chinese government was reported running on April 4.,0.872559369,0,0,0,0,0,0.871987283,0,0,0,0,0
a Beijing citizen.,Sorry. I cannot find the answer based on the context.,Sorry. I cannot find the answer based on the context.,0.870953143,0,0,0,0,0,0.870953143,0,0,0,0,0
a Beijing citizen.,The site was created by a Chinese citizen.,The site was created by a Beijing citizen.,0.904866934,0,0.033031643,0.363636364,0,0.363636364,0.918320298,0,0.13747081,0.545454545,0.444444444,0.545454545
foreign correspondents,The foreign correspondents in Beijing voiced suspicions that Anti-cnn may be a semi-government-made website.,Chinese correspondents in Beijing suspected that Anti-cnn may be a semi-government-made website.,0.845864952,0,0.030206205,0.210526316,0.117647059,0.210526316,0.860879779,0,0.017033186,0.117647059,0,0.117647059
30,Two teams of 40 attendants each,30,0.818783939,0,0,0,0,0,1.000000238,1,0.177827941,1,0,1
Aug-07,The 30 team members were sworn in during a ceremony in August 2007.,The team members were sworn in during a ceremony in August 2007.,0.875428319,0,0.015537126,0.266666667,0.153846154,0.266666667,0.872289598,0,0.017033186,0.285714286,0.166666667,0.285714286
matching blue tracksuits,Their official team outfits were blue tracksuits.,The official team outfits were blue tracksuits.,0.929477155,0,0.033031643,0.4,0.25,0.4,0.930120707,0,0.033031643,0.4,0.25,0.4
Second Right Brother,Sorry. I cannot find the answer based on the context.,Diego Maradona has his own fan following.,0.812093318,0,0,0,0,0,0.787417829,0,0,0,0,0
30,Two teams of 40 attendants each were used from the People's Armed Police for the flame's entire journey.,200,0.804786503,0,0,0,0,0,0.998156011,0,0,0,0,0
Aug-07,2008,1964,0.90154165,0,0,0,0,0,0.903684378,0,0,0,0,0
blue tracksuits,The attendants wore matching blue tracksuits.,The attendants wore matching blue tracksuits.,0.901583791,0,0.040824829,0.5,0.333333333,0.5,0.901583791,0,0.040824829,0.5,0.333333333,0.5
Second Right Brother,"The attendant who has a large fan base is called ""Second Right Brother.""","The attendant who has a large fan base is called ""Second Right Brother.""",0.83908838,0,0.015537126,0.375,0.285714286,0.375,0.83908838,0,0.015537126,0.375,0.285714286,0.375
Carrefour,Carrefour was boycotted by Chinese protesters due to accusations of pro-secessionist conspiracy and anti-Chinese racism.,"The French-owned retail chain Carrefour was boycotted in major Chinese cities including Kunming, Hefei and Wuhan.",0.870289207,0,0.013217948,0.111111111,0,0.111111111,0.851156116,0,0.012300686,0.111111111,0,0.111111111
LVMH Group,"The LVMH Group was accused of donating funds to the Dalai Lama, leading to calls for a boycott of Carrefour.",The LVMH Group was accused of donating funds to the Dalai Lama.,0.872104883,0,0.020364851,0.181818182,0.1,0.181818182,0.890639961,0,0.036020803,0.285714286,0.166666667,0.285714286
the Dalai Lama,The LVMH Group was accused by Chinese protesters of donating funds to the Dalai Lama.,The LVMH Group was accused by Chinese protesters of donating funds to the Dalai Lama.,0.880214393,0,0.027952556,0.333333333,0.25,0.333333333,0.880214393,0,0.027952556,0.333333333,0.25,0.333333333
the French flag,Chinese protesters burned French luxury goods and cosmetic products during these boycotts.,Chinese protesters burned French luxury goods and cosmetic products during these boycotts.,0.85258621,0,0.017033186,0.133333333,0,0.133333333,0.85258621,0,0.017033186,0.133333333,0,0.133333333
LVMH Group,"Australia's ACT Chief Minister, Jon Stanhope",Chinese government,0.768045604,0,0,0,0,0,0.818050325,0,0,0,0,0
anti-Chinese racism.,The protesters accused France of being pro-secessionist and anti-Chinese racist.,The protesters accused France of being pro-secessionist and anti-Chinese racist.,0.878486693,0,0.021105341,0.266666667,0.153846154,0.266666667,0.878486693,0,0.021105341,0.266666667,0.153846154,0.266666667
anti-Japanese protests,The Chinese government tried to tamper with the boycott by barring searches of words related to the French protests in 2005.,The Chinese government tried to tamper with the boycott in an attempt to avoid a similar outcome to the protests of 2005.,0.833918691,0,0.009134424,0.083333333,0,0.083333333,0.839359224,0,0.008687476,0.08,0,0.08
People's Daily,"The People's Daily urged Chinese people to ""express [their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and legal manner"".","The People's Daily urged Chinese people to ""express [their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and legal manner"".",0.80977726,0,0.016734481,0.214285714,0.153846154,0.214285714,0.80977726,0,0.016734481,0.214285714,0.153846154,0.214285714
Sohu.com,The government removed mentions of the Carrefour boycott from the website Sohu.com.,The government removed mentions of the Carrefour boycott from the website Sohu.com.,0.887029946,0,0,0.266666667,0.153846154,0.266666667,0.887029886,0,0,0.266666667,0.153846154,0.266666667
May-01,"Protesters organized boycotts of Carrefour in major Chinese cities including Kunming, Hefei, and Wuhan, accusing France of pro-secessionist conspiracy and anti-Chinese racism.",Protesters in China began boycotting Carrefour stores starting May 1st.,0.785890043,0,0,0,0,0,0.817699134,0,0.021105341,0.166666667,0,0.166666667
the anti-Japanese protests in 2005.,The Chinese government did not want a repeat of what happened in Tibet.,The Chinese government did not want a repeat of what protests?,0.864855111,0,0.015537126,0.210526316,0,0.210526316,0.867773235,0,0,0.235294118,0,0.235294118
People's Daily,The People's Daily,The People's Daily,0.912639916,0,0.240281141,0.857142857,0.8,0.857142857,0.912639856,0,0.240281141,0.857142857,0.8,0.857142857
the Chinese government,The Chinese government removed all comments posted on popular Internet forum Sohu.com relating to a boycott of Carrefour from May 1st in order to maintain social stability and order.,Sorry. I cannot find the answer based on the context.,0.86366725,0,0.013686242,0.181818182,0.129032258,0.181818182,0.836341918,0,0.021105341,0.153846154,0,0.153846154
May 1.,"Protesters organized boycotts of Carrefour in major Chinese cities including Kunming, Hefei, and Wuhan. The protests took place on May 1.",Protestors gathered outside of Carrefour stores on May 1st.,0.84977901,0,0.019316954,0.173913043,0.095238095,0.173913043,0.866103172,0,0.023980297,0.181818182,0,0.181818182
Shoichi Washizawa,Shoichi Washizawa,Shoichi Washizawa,1,1,0.316227766,1,1,1,1,1,0.316227766,1,1,1
great nuisance,"Washizawa referred to the city having the torch relay as a ""great nuisance.""","Washizawa referred to it as a ""great nuisance"" for the city to host the torch relay prior to the Nagano leg.",0.843146682,0,0,0.266666667,0.153846154,0.266666667,0.83956033,0,0,0.173913043,0.095238095,0.173913043
a major Buddhist temple,Tibetan flags,The torch relay was vandalized after it was cancelled due to security concerns and replaced by an indoors ceremony.,0.860205114,0,0,0,0,0,0.838715672,0,0,0,0,0
Shoichi Washizawa,Shoichi Washizawa,Shoichi Washizawa,1,1,0.316227766,1,1,1,1,1,0.316227766,1,1,1
great nuisance,"Washizawa called it a ""great nuisance.""",Nagano,0.853947639,0,0,0.5,0.333333333,0.5,0.837850451,0,0,0,0,0
a major Buddhist temple,"The initial opening ceremony of the 1998 Winter Olympics in Nagano was originally scheduled to be held at Zenk-ji temple, but due to concerns about disruption and vandalism related to protests, it was relocated to another venue.",The initial opening ceremony of the 1998 Winter Olympics in Nagano was originally scheduled to be held at Zenk-ji temple but had to be relocated due to vandalism and protests.,0.836177826,0,0,0.047619048,0,0.047619048,0.84308672,0,0.006244386,0.057142857,0,0.057142857
lanterns.,The torch flame can be kept lit when the torch must be off by using an ignition key.,The backup flames keep the torch flame lit when the torch must be off.,0.849302828,0,0,0,0,0,0.853608668,0,0,0,0,0
during protests,"The torch is put out at night, on aircraft, during storms and protests",The torch is put out during storms and protests,0.869005978,0,0.01847686,0.266666667,0,0.266666667,0.88400799,0,0.02851754,0.363636364,0,0.363636364
Hong Kong legislator,Michael Mak Kwok-fung was a member of the Legislative Council of Hong Kong and a member of the League of Social Democrats.,Michael Mak Kwok-fung was a Hong Kong legislator and member of the League of Social Democrats who protested at the relay for better living conditions.,0.847419083,0,0.018371774,0.230769231,0.083333333,0.153846154,0.865063548,0,0.037494051,0.206896552,0.148148148,0.206896552
Jin Jing,The official Chinese torch relay website described Jin Jing as heroic and an angel.,Chinese Paralympic athlete Jin Jing has garnered much attention from the media,0.863420963,0,0.030206205,0.25,0.142857143,0.25,0.870304704,0,0.036020803,0.285714286,0.166666667,0.285714286
Western media,BBC,The BBC had not reported on Jin Jing.,0.865682602,0,0,0,0,0,0.837692976,0,0,0,0,0
Two,"0

The Beijing Organizing Committee attempted to continue negotiation but further disputes arose over the flag or the anthem of the Republic of China along the 24 km torch route in Taiwan.","0

There was disagreement in Beijing and Taipei over language used to describe whether it was an international or domestic part of the route.",0.854166687,0,0,0,0,0,0.860615671,0,0,0,0,0
40,"680
1,600",There are two teams in total with one having 120 members and the other having 80 members.,0.866483986,0,0,0,0,0,0.815217614,0,0,0,0,0
easy listening,Sorry. I cannot find the answer based on the context.,Sorry. No relevant information available.,0.828830183,0,0,0,0,0,0.834776103,0,0,0,0,0
soft rock,"The prevailing style of adult contemporary music in the 1970s was soft rock, which featured a combination of acoustic guitars, keyboards, and vocal harmonies.","The prevailing style of adult contemporary music in the 1970s was predominantly ballad-heavy music with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.",0.849177241,0,0.007913247,0.153846154,0.083333333,0.153846154,0.829194486,0,0.006244386,0.060606061,0,0.060606061
vocal,Adult contemporary music was popular in the 1960s.,"The type of adult contemporary music that was popular in the 1960s was predominantly ballad-heavy music with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.",0.826445997,0,0,0,0,0,0.793318212,0,0,0,0,0
Adult contemporary,AC stands for Adult Contemporary.,AC stands for Adult Contemporary.,0.830142438,0,0.053728497,0.571428571,0.4,0.571428571,0.830142438,0,0.053728497,0.571428571,0.4,0.571428571
soft rock,Adult contemporary is a continuation of the easy listening and soft rock style that became popular in the 1960s and 1970s with some adjustments that reflect the evolution of pop/rock music.,Adult contemporary is a modern day continuation of soft rock style that became popular in the 1960s and 1970s with some adjustments that reflect the evolution of pop/rock music.,0.847794354,0,0.012756976,0.117647059,0.0625,0.117647059,0.846602857,0,0.013686242,0.125,0.066666667,0.125
melody,"The emphasis on melody and harmonies in adult contemporary music creates a lush, soothing sound.","Adult contemporary emphasizes harmonies as well as ballad-heavy music with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.",0.819127619,0,0.013217948,0.125,0,0.125,0.790727675,0,0,0,0,0
verse–chorus structure,"Adult contemporary music typically follows a ballad-heavy format with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence. It often deals with modern romantic and sexual relationships in a thoughtful and complex way.","Generally, adult contemporary songs follow a verse-chorus structure and tend to have a romantic or thoughtful theme.",0.791083515,0,0,0,0,0,0.858773828,0,0.011502784,0.285714286,0.210526316,0.285714286
pop music,Adult contemporary shares its structure with easy listening and soft rock style.,Adult contemporary shares its structure with pop music.,0.850198388,0,0,0,0,0,0.880485952,0,0.02777619,0.4,0.25,0.4
inoffensive,"Adult contemporary music (AC) is a style of music, ranging from 1960s vocal and 1970s soft rock music to ""hot AC"", ""soft AC"", or only one of the variety of subgenres. Therefore, it is not usually considered a specific genre of music; it is merely an assemblage of selected tracks from musicians of many different genres. Adult contemporary tends to have lush, soothing and highly polished qualities where emphasis on melody and harmonies is accentuated. It is usually melodic enough to get a","Adult contemporary music (AC) is a style of music, ranging from 1960s vocal and 1970s soft rock music to ""hot AC"", ""soft AC"", or only one of the variety of subgenres. Therefore, it is not usually considered a specific genre of music; it is merely an assemblage of selected tracks from musicians of many different genres. Adult contemporary tends to have lush, soothing and highly polished qualities where emphasis on melody and harmonies is accentuated. It is usually melodic enough to get a listener's attention without being too loud or abrasive.",0.785573363,0,0,0,0,0,0.788586557,0,0,0,0,0
romantic sentimental ballads,Adult Contemporary,"Adult contemporary songs are predominantly ballad-heavy music of the present day, with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.",0.876091301,0,0,0,0,0,0.847477198,0,0,0.064516129,0,0.064516129
drum machines,"Synthesizers are often used in modern adult contemporary music, along with other electronics like drum machines.",Synthesizers are electronic instruments that sometimes appear in modern adult contemporary.,0.849224448,0,0.012300686,0.222222222,0.125,0.222222222,0.815050066,0,0,0,0,0
acoustic,"Generally speaking, acoustic guitars, pianos, and saxophones tend to be used in adult contemporary music.","Generally, acoustic instruments such as guitars, pianos, saxophones, and sometimes an orchestral set are used in adult contemporary music.",0.802672148,0,0.013217948,0.125,0,0.125,0.793780684,0,0.010182426,0.1,0,0.1
bass guitar,The electric guitar is often seen in adult contemporary.,The electric guitar is often seen in adult contemporary.,0.850029886,0,0.023980297,0.181818182,0,0.181818182,0.850029886,0,0.023980297,0.181818182,0,0.181818182
high-pitched,The electric guitars used in adult contemporary are usually faint and high-pitched.,The electric guitars used in adult contemporary are usually faint and high-pitched.,0.851826072,0,0,0.266666667,0.153846154,0.266666667,0.851826072,0,0,0.266666667,0.153846154,0.266666667
25–44,Adult contemporary radio typically focuses on the 25-44 age group.,Adult contemporary radio typically focuses on the 25-44 age group.,0.805588722,0,0,0.307692308,0.181818182,0.307692308,0.805588722,0,0,0.307692308,0.181818182,0.307692308
hip hop,Hard rock,Hard rock,0.864305377,0,0,0,0,0,0.864305377,0,0,0,0,0
1960s,Since the 1960s,Advertisers have been focusing on the 25-44 age group since the 1960s.,0.902832091,0,0.113621937,0.5,0,0.5,0.826553941,0,0,0.142857143,0,0.142857143
newer music,AC stations are noted as playing less mainstream music versus hits of the past.,AC stations are noted as playing less rap and heavy metal versus hits of the past.,0.866482019,0,0.014283633,0.125,0,0.125,0.843178391,0,0,0,0,0
soft AC,lit AC is also known as soft AC or lite AC,lit AC is also known as soft AC,0.866723835,0,0.039863571,0.307692308,0.181818182,0.307692308,0.877122045,0,0.058739491,0.4,0.25,0.4
contemporary Christian music,"Christian AC is a specific subgenre of Contemporary Christian music that focuses on a mix of popular and worship music, often with an emphasis on lyrics that reflect Christian themes and values.",Christian AC is a subgenre of contemporary Christian music (CCM).,0.859630704,0,0.012338142,0.171428571,0.121212121,0.171428571,0.864978313,0,0.104455227,0.461538462,0.363636364,0.461538462
rhythmic AC,Another prominent time of adult contemporary music would be the 1960s and 1970s with some adjustments that reflect the evolution of pop/rock music.,Another prominent time of adult contemporary music was in the late 70s and early 80s.,0.801394343,0,0,0,0,0,0.803982675,0,0,0,0,0
1960s,Adult contemporary traces its heritage from the 1970s decade of easy listening radio.,Adult contemporary traces its heritage from the 1970s decade of easy listening radio.,0.836124539,0,0,0,0,0,0.836124539,0,0,0,0,0
70-80%,"Generally speaking, most easy listening music on stations was instrumental.",20-30%,0.81047684,0,0,0,0,0,0.962765098,0,0,0,0,0
"July 17, 1961","July 17, 1961","The Billboard easy listening chart was first published on April 7, 1979.",1,1,0.562341325,1,1,1,0.866125047,0,0,0,0,0
20,20 songs,20 songs,0.887775779,0,0.149534878,0.666666667,0,0.666666667,0.887775779,0,0.149534878,0.666666667,0,0.666666667
Brook Benton,Brook Benton,'The first #1 song on the easy listening chart was an instrumental.',1.000000119,1,0.316227766,1,1,1,0.802803874,0,0,0,0,0
Connie Francis,Frank Sinatra,Frank Sinatra,0.832900584,0,0,0,0,0,0.832900584,0,0,0,0,0
instrumental,"Adult contemporary covers of pop and rock songs were usually ballad-heavy with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.","Adult contemporary covers of pop and rock songs were usually ballad-heavy with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.",0.794613123,0,0,0,0,0,0.794613123,0,0,0,0,0
big band-era recordings,"Adult contemporary stations in the 1940s and 1950s would have played popular songs from those decades that were considered ""easy listening"" or ""middle-of-the-road."" This could include genres such as pop, jazz, and big band. Some examples of songs from this era that might be played on an adult contemporary station today are ""White Christmas"" by Bing Crosby and ""Unchained Melody"" by the Righteous Brothers.","Adult contemporary stations in the 1940s and 1950s primarily played easy listening fare, such as pop and jazz music.",0.835641623,0,0.002845702,0.084507042,0.028985507,0.084507042,0.848468125,0,0,0,0,0
the Hot 100 chart,The Hot 100 chart,The Hot 100 chart,0.999509215,0,0.397635364,1,1,1,0.999509156,0,0.397635364,1,1,1
1965,1969,The Easy Listening and Hot 100 charts began to diverge after 1965.,0.999758601,0,0,0,0,0,0.811505675,0,0,0.153846154,0,0.153846154
Bobby Vinton,Bobby Vinton was a successful Easy Listening artist in this era.,Bobby Vinton was also a successful Easy Listening artist in this era.,0.893063605,0,0.039863571,0.307692308,0.181818182,0.307692308,0.890998065,0,0.036020803,0.285714286,0.166666667,0.285714286
rock music continued to harden,The crossover between Hot 100 and Easy Listening decreased due to a decrease in crossover between the two charts in the late 1960s.,"The crossover between Hot 100 and Easy Listening decreased because rock music continued to harden, middle of the road stations were playing less rock music, and Top 40 radio was becoming more youth-oriented.",0.853556991,0,0.008282283,0.071428571,0,0.071428571,0.870138824,0,0.070309837,0.256410256,0.216216216,0.256410256
1950s,Rock and roll music first became popular in the mid-1950s,The mid-1950s,0.840277076,0,0,0.166666667,0,0.166666667,0.892567933,0,0,0.5,0,0.5
middle of the road,MOR stands for Middle of the Road.,MOR stands for middle of the road.,0.842736661,0,0.069853421,0.727272727,0.666666667,0.727272727,0.857223451,0,0.163481266,0.727272727,0.666666667,0.727272727
big band titles,MOR stations played pre-rock-era adult standards and big band titles.,"MOR stations played older, pre-rock-era adult standards and big band titles to appeal to adult listeners who had grown up with those songs.",0.861300409,0,0.044632361,0.4,0.307692308,0.4,0.834354222,0,0.040990938,0.214285714,0.153846154,0.214285714
beautiful music,Another term for easy listening stations was adult contemporary.,Another term for easy listening stations was adult contemporary.,0.838967383,0,0,0,0,0,0.838967383,0,0,0,0,0
instrumental,Most,Easy listening was predominately instrumental music.,0.998493791,0,0,0,0,0,0.835600317,0,0.040824829,0.285714286,0,0.285714286
hit singles and album cuts,Adult contemporary radio played tracks from popular artists that varied based on how much the passing pop music trends of the times appealed to adult listeners.,Adult contemporary radio played tracks from popular artists that varied based on how much the passing pop music trends of the times appealed to adult listeners.,0.824935436,0,0,0,0,0,0.824935377,0,0,0,0,0
lite,Adult contemporary and easy listening stations were meant to share a format that focused on older or more traditional music.,Adult contemporary and easy listening stations were meant to share an ambient music style that appealed to adult listeners.,0.794020355,0,0,0,0,0,0.801628351,0,0,0,0,0
1965,Hard rock was established as a mainstream type of music by 1965.,Hard rock had been established as a mainstream genre by 1965.,0.826020241,0,0,0.153846154,0,0.153846154,0.824940562,0,0,0.166666667,0,0.166666667
hard rock,Hard rock,Hard rock,0.984687328,0,0.149534878,1,1,1,0.984687328,0,0.149534878,1,1,1
acoustic,Folk instruments were prominent in soft rock.,"In soft rock, acoustic instruments such as guitars, pianos, and saxophones were prominent.",0.823994935,0,0,0,0,0,0.803465486,0,0.015537126,0.142857143,0,0.142857143
folk rock,Folk rock.,"Soft rock was often derived from folk rock, using acoustic instruments and putting more emphasis on melody and harmonies.",0.96478492,0,0,1,1,1,0.86149466,0,0.012109013,0.19047619,0.105263158,0.19047619
James Taylor,Barbra Streisand,Barry Manilow,0.753961086,0,0,0,0,0,0.760823369,0,0,0,0,0
1960s,The Hot 100 and Easy Listening charts began to converge at the end of the 1960s.,"The Hot 100 and Easy Listening charts began to converge towards the end of the 1960s and into the early and mid-1970s, as the texture of music played on Top 40 radio softened.",0.842208862,0,0,0.117647059,0,0.117647059,0.818157732,0,0.005648892,0.057142857,0,0.057142857
1970s,During the middle and early parts of the 1960s,The Hot 100 and Easy Listening charts became more similar again toward the end of the 1960s and into the early and mid-1970s,0.852591574,0,0,0,0,0,0.82882148,0,0,0.08,0,0.08
began to soften,"During this era, Top 40 radio began to soften its stance on playing only certain genres of music and started playing more diverse artists such as The Carpenters, Anne Murray, John Denver, Barry Manilow, and even Streisand.","During the 1980s, Top 40 radio changed as a result of the growth of AC (Adult Contemporary) music. This new genre was influenced by smooth soul and Philly soul sounds from the previous decade, with an emphasis on classic songwriting touches and organic-leaning instrumentation. The development of the AC format was driven in part by the popularity of rock and roll in the mid-1950s, which led to a desire for more refined music.",0.819707215,0,0.024804188,0.15,0.105263158,0.15,0.814323604,0,0.002487408,0.025641026,0,0.025641026
Chicago,Elton John and the Eagles were prominent rock-oriented acts associated with adult contemporary music in this period.,The Eagles were an adult contemporary artist in this period.,0.80316025,0,0,0,0,0,0.835074127,0,0,0,0,0
