question,answers,modified_rag_retrieved_context,modified_rag_refined_answer,modified_rag_case,modified_rag_retrieval_time,modified_rag_generation_time,modified_rag_total_time,traditional_rag_retrieved_context,traditional_rag_refined_answer,traditional_rag_retrieval_time,traditional_rag_generation_time,traditional_rag_total_time
What songs from the 1940s and 1950s would adult contemporary stations play?,big band-era recordings,"reinvented in the late 2000s/early 2010s as a result of its declining relevance, adopting a more
upmarket, middle-of-the-road approach, with a selection of ""oldies"" (usually from the 1960s/70s
onwards), primarily rock, jazz, R&B and pop music. Newer songs are more often (but not limited to)
""easy listening"" fare, this amount varying depending on the age of the station\'s target demographic.
Motown and disco hits. The format includes soul or disco artists such as ABBA, The Village People,
The Jackson 5, Donna Summer, Tina Charles, Gloria Gaynor and the Bee Gees. Rhythmic oldies
stations still exist today, but target African-Americans as opposed to a mass audience. While most
artists became established in other formats before moving to adult contemporary, Michael Bublé and
Adult_contemporary_music
varied based on how much the passing pop music trends of the times appealed to adult listeners.
Not many disco or new wave songs were particularly successful on the AC chart during the late
1970s and early 1980s, and much of the hip-hop and harder rock music featured on CHR formats","Adult contemporary stations in the 1940s and 1950s would have played popular songs from those decades that were considered ""easy listening"" or ""middle-of-the-road."" This could include genres such as pop, jazz, and big band. Some examples of songs from this era that might be played on an adult contemporary station today are ""White Christmas"" by Bing Crosby and ""Unchained Melody"" by the Righteous Brothers.",Traditional RAG,2.9,16.6,19.5,"reinvented in the late 2000s/early 2010s as a result of its declining relevance, adopting a more
upmarket, middle-of-the-road approach, with a selection of ""oldies"" (usually from the 1960s/70s
onwards), primarily rock, jazz, R&B and pop music. Newer songs are more often (but not limited to)
""easy listening"" fare, this amount varying depending on the age of the station\'s target demographic.

Motown and disco hits. The format includes soul or disco artists such as ABBA, The Village People,
The Jackson 5, Donna Summer, Tina Charles, Gloria Gaynor and the Bee Gees. Rhythmic oldies
stations still exist today, but target African-Americans as opposed to a mass audience. While most
artists became established in other formats before moving to adult contemporary, Michael Bublé and

Adult_contemporary_music
varied based on how much the passing pop music trends of the times appealed to adult listeners.
Not many disco or new wave songs were particularly successful on the AC chart during the late
1970s and early 1980s, and much of the hip-hop and harder rock music featured on CHR formats","Adult contemporary stations in the 1940s and 1950s primarily played easy listening fare, such as pop and jazz music.",2.76,7.07,9.83
What chart did the Easy Listening chart begin to diverge from?,the Hot 100 chart,"Answer: The composition of the Easy Listening chart changed dramatically after 1965, more closely reflecting the music played on middle of the road stations.
Score: 0.87
Answer: The main purpose of the Easy Listening chart in the 1960s was to provide a platform for middle of the road stations to play music that was not included on the Hot 100 chart.
Score: 0.81
Answer: The Easy Listening chart helped to promote a specific type of music, known as middle of the road (MOR), which was characterized by a mix of pop, rock, and country sounds.
Score: 0.77",The Hot 100 chart,Q-A Index,2.77,3.49,6.26,"Daniel, Steve O'Brien, Dick Summers, Don Bleu and Tom Parker made it possible to fully monetize
the format and provide the foundation for financial success enjoyed to this day On April 7, 1979, the
Easy Listening chart officially became known as Adult Contemporary, and those two words have
remained consistent in the name of the chart ever since. Adult contemporary music became one of

played specific genres of music, and generally followed the evolution of artists in those genres. After
1965, differences between the Hot 100 chart and the Easy Listening chart became more
pronounced. Better reflecting what middle of the road stations were actually playing, the composition
of the chart changed dramatically. As rock music continued to harden, there was much less

instrumental - 20-30% vocal mix. A few offered 90% instrumentals, and a handful were entirely
instrumental. The easy listening format, as it was first known, was born of a desire by some radio
stations in the late 1950s and early 1960s to continue playing current hit songs but distinguish
themselves from being branded as ""rock and roll"" stations. Billboard first published the Easy",The Hot 100 chart,2.62,3.5,6.12
In what year did the Easy Listening and Hot 100 charts begin to diverge?,1965,"Answer: Toward the end of the 1960s and into the early and mid-1970s.
Score: 0.92
Answer: There was much less crossover between the two charts than there had been in the early half of the decade.
Score: 0.84
Answer: There was a decrease in crossover between the two charts in the late 1960s.
Score: 0.83",1969,Q-A Index,2.75,2.99,5.74,"though they include the more youth-oriented teen pop, urban and rhythmic dance tracks. The Hot
100 and Easy Listening charts became more similar again toward the end of the 1960s and into the
early and mid-1970s, when the texture of much of the music played on Top 40 radio once more
began to soften. The adult contemporary format began evolving into the sound that later defined it,

played specific genres of music, and generally followed the evolution of artists in those genres. After
1965, differences between the Hot 100 chart and the Easy Listening chart became more
pronounced. Better reflecting what middle of the road stations were actually playing, the composition
of the chart changed dramatically. As rock music continued to harden, there was much less

Daniel, Steve O'Brien, Dick Summers, Don Bleu and Tom Parker made it possible to fully monetize
the format and provide the foundation for financial success enjoyed to this day On April 7, 1979, the
Easy Listening chart officially became known as Adult Contemporary, and those two words have
remained consistent in the name of the chart ever since. Adult contemporary music became one of",The Easy Listening and Hot 100 charts began to diverge after 1965.,2.7,5.15,7.85
"Along with Roger Miller and Barbra Streisand, who was a successful Easy Listening artist in this era?",Bobby Vinton,"crossover between the Hot 100 and Easy Listening chart than there had been in the early half of the
1960s. Roger Miller, Barbra Streisand and Bobby Vinton were among the chart's most popular
Adult_contemporary_music
performers. Unlike the majority of 1980s mainstream singers, the 1990s mainstream pop/R&B
singers such as All-4-One, Boyz II Men, Rob Thomas, Christina Aguilera, Backstreet Boys and
divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other
Adult_contemporary_music
Williams - many of whom would never be played on these stations during the rest of the year.
Mainstream AC itself has evolved in a similar fashion over the years; traditional AC artists like
Barbra Streisand, the Carpenters, Dionne Warwick, Barry Manilow, John Denver, and Olivia
Newton-John found it harder to have major Top 40 hits as the 1980s wore on, and due to the",Bobby Vinton was a successful Easy Listening artist in this era.,Traditional RAG,2.77,4.63,7.4,"crossover between the Hot 100 and Easy Listening chart than there had been in the early half of the
1960s. Roger Miller, Barbra Streisand and Bobby Vinton were among the chart's most popular
Adult_contemporary_music
performers. Unlike the majority of 1980s mainstream singers, the 1990s mainstream pop/R&B
singers such as All-4-One, Boyz II Men, Rob Thomas, Christina Aguilera, Backstreet Boys and

divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other

Adult_contemporary_music
Williams - many of whom would never be played on these stations during the rest of the year.
Mainstream AC itself has evolved in a similar fashion over the years; traditional AC artists like
Barbra Streisand, the Carpenters, Dionne Warwick, Barry Manilow, John Denver, and Olivia
Newton-John found it harder to have major Top 40 hits as the 1980s wore on, and due to the",Bobby Vinton was also a successful Easy Listening artist in this era.,2.74,4.71,7.45
Why did the crossover between Hot 100 and Easy Listening decrease?,rock music continued to harden,"Answer: There was much less crossover between the two charts than there had been in the early half of the decade.
Score: 0.81
Answer: There was a decrease in crossover between the two charts in the late 1960s.
Score: 0.80
Answer: Toward the end of the 1960s and into the early and mid-1970s.
Score: 0.78",The crossover between Hot 100 and Easy Listening decreased due to a decrease in crossover between the two charts in the late 1960s.,Q-A Index,2.83,6.67,9.5,"though they include the more youth-oriented teen pop, urban and rhythmic dance tracks. The Hot
100 and Easy Listening charts became more similar again toward the end of the 1960s and into the
early and mid-1970s, when the texture of much of the music played on Top 40 radio once more
began to soften. The adult contemporary format began evolving into the sound that later defined it,

played specific genres of music, and generally followed the evolution of artists in those genres. After
1965, differences between the Hot 100 chart and the Easy Listening chart became more
pronounced. Better reflecting what middle of the road stations were actually playing, the composition
of the chart changed dramatically. As rock music continued to harden, there was much less

singer-songwriters such as Diana Ross, James Taylor, Carly Simon, Carole King and Janis Ian got
as much, if not more, airplay on this format than on Top 40 stations. Easy Listening radio also began
including songs by artists who had begun in other genres, such as rock and roll or R&B. In addition,
several early disco songs, did well on the Adult Contemporary format. The ""soft"" AC format has","The crossover between Hot 100 and Easy Listening decreased because rock music continued to harden, middle of the road stations were playing less rock music, and Top 40 radio was becoming more youth-oriented.",2.71,8.56,11.27
During what decade did rock and roll music first rise to popularity?,1950s,"Answer: Rock and roll music first became popular in the mid-1950s.
Score: 0.94
Answer: Rock and roll music became popular in the mid-1950s.
Score: 0.92
Answer: By 1965.
Score: 0.73",Rock and roll music first became popular in the mid-1950s,Q-A Index,3.16,4.5,7.66,"most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and
quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string
arrangements and horn charts, were constants. One big impetus for the development of the AC
radio format was that, when rock and roll music first became popular in the mid-1950s, many more

played specific genres of music, and generally followed the evolution of artists in those genres. After
1965, differences between the Hot 100 chart and the Easy Listening chart became more
pronounced. Better reflecting what middle of the road stations were actually playing, the composition
of the chart changed dramatically. As rock music continued to harden, there was much less

the most popular radio formats of the 1980s. The growth of AC was a natural result of the
generation that first listened to the more ""specialized"" music of the mid-late 1970s growing older and
not being interested in the heavy metal and rap/hip-hop music that a new generation helped to play
a significant role in the Top 40 charts by the end of the decade. Much of the music recorded by",The mid-1950s,2.99,3.6,6.59
What does the acronym MOR stand for?,middle of the road,"contemporary successor to and combination of the middle of the road (MOR), beautiful music, easy
listening and soft rock formats. Many stations in the soft AC format capitalize on its appeal to office
Adult_contemporary_music
workers (many of them females aged 25-54, a key advertiser demographic), and brand themselves
conservative radio stations wanted to continue to play current hit songs while shying away from
rock. These middle of the road (or ""MOR"") stations also frequently included older, pre-rock-era adult
standards and big band titles to further appeal to adult listeners who had grown up with those songs.
Adult contemporary traces its roots to the 1960s easy listening format, which adopted a 70-80%
most easy listening music was instrumental, created by relatively unknown artists, and rarely
purchased, AC was an attempt to create a similar ""lite"" format by choosing certain tracks (both hit
singles and album cuts) of popular artists. Other popular names for the format include ""Warm"",
""Sunny"", ""Bee"" (or ""B"") and (particularly in Canada) ""EZ Rock"". The format can be seen as a more",MOR stands for Middle of the Road.,Traditional RAG,3.18,3.94,7.12,"contemporary successor to and combination of the middle of the road (MOR), beautiful music, easy
listening and soft rock formats. Many stations in the soft AC format capitalize on its appeal to office
Adult_contemporary_music
workers (many of them females aged 25-54, a key advertiser demographic), and brand themselves

conservative radio stations wanted to continue to play current hit songs while shying away from
rock. These middle of the road (or ""MOR"") stations also frequently included older, pre-rock-era adult
standards and big band titles to further appeal to adult listeners who had grown up with those songs.
Adult contemporary traces its roots to the 1960s easy listening format, which adopted a 70-80%

most easy listening music was instrumental, created by relatively unknown artists, and rarely
purchased, AC was an attempt to create a similar ""lite"" format by choosing certain tracks (both hit
singles and album cuts) of popular artists. Other popular names for the format include ""Warm"",
""Sunny"", ""Bee"" (or ""B"") and (particularly in Canada) ""EZ Rock"". The format can be seen as a more",MOR stands for middle of the road.,2.77,3.37,6.13
"Along with pre-rock standards, what type of older songs did MOR stations play?",big band titles,"conservative radio stations wanted to continue to play current hit songs while shying away from
rock. These middle of the road (or ""MOR"") stations also frequently included older, pre-rock-era adult
standards and big band titles to further appeal to adult listeners who had grown up with those songs.
Adult contemporary traces its roots to the 1960s easy listening format, which adopted a 70-80%
reinvented in the late 2000s/early 2010s as a result of its declining relevance, adopting a more
upmarket, middle-of-the-road approach, with a selection of ""oldies"" (usually from the 1960s/70s
onwards), primarily rock, jazz, R&B and pop music. Newer songs are more often (but not limited to)
""easy listening"" fare, this amount varying depending on the age of the station\'s target demographic.
most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and
quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string
arrangements and horn charts, were constants. One big impetus for the development of the AC
radio format was that, when rock and roll music first became popular in the mid-1950s, many more",MOR stations played pre-rock-era adult standards and big band titles.,Traditional RAG,2.84,4.64,7.48,"conservative radio stations wanted to continue to play current hit songs while shying away from
rock. These middle of the road (or ""MOR"") stations also frequently included older, pre-rock-era adult
standards and big band titles to further appeal to adult listeners who had grown up with those songs.
Adult contemporary traces its roots to the 1960s easy listening format, which adopted a 70-80%

reinvented in the late 2000s/early 2010s as a result of its declining relevance, adopting a more
upmarket, middle-of-the-road approach, with a selection of ""oldies"" (usually from the 1960s/70s
onwards), primarily rock, jazz, R&B and pop music. Newer songs are more often (but not limited to)
""easy listening"" fare, this amount varying depending on the age of the station\'s target demographic.

most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and
quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string
arrangements and horn charts, were constants. One big impetus for the development of the AC
radio format was that, when rock and roll music first became popular in the mid-1950s, many more","MOR stations played older, pre-rock-era adult standards and big band titles to appeal to adult listeners who had grown up with those songs.",2.83,6.12,8.96
What was another term for easy listening stations?,beautiful music,"reinvented in the late 2000s/early 2010s as a result of its declining relevance, adopting a more
upmarket, middle-of-the-road approach, with a selection of ""oldies"" (usually from the 1960s/70s
onwards), primarily rock, jazz, R&B and pop music. Newer songs are more often (but not limited to)
""easy listening"" fare, this amount varying depending on the age of the station\'s target demographic.
instrumental - 20-30% vocal mix. A few offered 90% instrumentals, and a handful were entirely
instrumental. The easy listening format, as it was first known, was born of a desire by some radio
stations in the late 1950s and early 1960s to continue playing current hit songs but distinguish
themselves from being branded as ""rock and roll"" stations. Billboard first published the Easy
singer-songwriters such as Diana Ross, James Taylor, Carly Simon, Carole King and Janis Ian got
as much, if not more, airplay on this format than on Top 40 stations. Easy Listening radio also began
including songs by artists who had begun in other genres, such as rock and roll or R&B. In addition,
several early disco songs, did well on the Adult Contemporary format. The ""soft"" AC format has",Another term for easy listening stations was adult contemporary.,Traditional RAG,3.63,4.38,8.02,"reinvented in the late 2000s/early 2010s as a result of its declining relevance, adopting a more
upmarket, middle-of-the-road approach, with a selection of ""oldies"" (usually from the 1960s/70s
onwards), primarily rock, jazz, R&B and pop music. Newer songs are more often (but not limited to)
""easy listening"" fare, this amount varying depending on the age of the station\'s target demographic.

instrumental - 20-30% vocal mix. A few offered 90% instrumentals, and a handful were entirely
instrumental. The easy listening format, as it was first known, was born of a desire by some radio
stations in the late 1950s and early 1960s to continue playing current hit songs but distinguish
themselves from being branded as ""rock and roll"" stations. Billboard first published the Easy

singer-songwriters such as Diana Ross, James Taylor, Carly Simon, Carole King and Janis Ian got
as much, if not more, airplay on this format than on Top 40 stations. Easy Listening radio also began
including songs by artists who had begun in other genres, such as rock and roll or R&B. In addition,
several early disco songs, did well on the Adult Contemporary format. The ""soft"" AC format has",Another term for easy listening stations was adult contemporary.,2.87,3.66,6.53
Easy listening was predominately what type of music?,instrumental,"Answer: Most easy listening music was instrumental, created by relatively unknown artists, and rarely purchased.
Score: 0.86
Answer: The easy listening genre has influenced other genres, such as adult contemporary and smooth jazz, by providing a softer, more mellow sound that is popular among many listeners.
Score: 0.83
Answer: Yes, easy listening is a specific genre of music that is characterized by mellow, relaxing sound and simple melodies.
Score: 0.82",Most,Q-A Index,2.67,2.71,5.38,"instrumental - 20-30% vocal mix. A few offered 90% instrumentals, and a handful were entirely
instrumental. The easy listening format, as it was first known, was born of a desire by some radio
stations in the late 1950s and early 1960s to continue playing current hit songs but distinguish
themselves from being branded as ""rock and roll"" stations. Billboard first published the Easy

singer-songwriters such as Diana Ross, James Taylor, Carly Simon, Carole King and Janis Ian got
as much, if not more, airplay on this format than on Top 40 stations. Easy Listening radio also began
including songs by artists who had begun in other genres, such as rock and roll or R&B. In addition,
several early disco songs, did well on the Adult Contemporary format. The ""soft"" AC format has

most easy listening music was instrumental, created by relatively unknown artists, and rarely
purchased, AC was an attempt to create a similar ""lite"" format by choosing certain tracks (both hit
singles and album cuts) of popular artists. Other popular names for the format include ""Warm"",
""Sunny"", ""Bee"" (or ""B"") and (particularly in Canada) ""EZ Rock"". The format can be seen as a more",Easy listening was predominately instrumental music.,2.71,3.9,6.61
What types of tracks from popular artists did adult contemporary radio play?,hit singles and album cuts,"Adult_contemporary_music
varied based on how much the passing pop music trends of the times appealed to adult listeners.
Not many disco or new wave songs were particularly successful on the AC chart during the late
1970s and early 1980s, and much of the hip-hop and harder rock music featured on CHR formats
been relegated to the adult standards format, which is itself disappearing because of aging
demographics. Some soft AC stations have found a niche by incorporating more oldies into their
playlists and are more open to playing softer songs that fit the ""traditional"" definition of AC. Adult
contemporary music (AC) is a style of music, ranging from 1960s vocal and 1970s soft rock music to
Adult_contemporary_music
Williams - many of whom would never be played on these stations during the rest of the year.
Mainstream AC itself has evolved in a similar fashion over the years; traditional AC artists like
Barbra Streisand, the Carpenters, Dionne Warwick, Barry Manilow, John Denver, and Olivia
Newton-John found it harder to have major Top 40 hits as the 1980s wore on, and due to the",Adult contemporary radio played tracks from popular artists that varied based on how much the passing pop music trends of the times appealed to adult listeners.,Traditional RAG,2.73,6.64,9.36,"Adult_contemporary_music
varied based on how much the passing pop music trends of the times appealed to adult listeners.
Not many disco or new wave songs were particularly successful on the AC chart during the late
1970s and early 1980s, and much of the hip-hop and harder rock music featured on CHR formats

been relegated to the adult standards format, which is itself disappearing because of aging
demographics. Some soft AC stations have found a niche by incorporating more oldies into their
playlists and are more open to playing softer songs that fit the ""traditional"" definition of AC. Adult
contemporary music (AC) is a style of music, ranging from 1960s vocal and 1970s soft rock music to

Adult_contemporary_music
Williams - many of whom would never be played on these stations during the rest of the year.
Mainstream AC itself has evolved in a similar fashion over the years; traditional AC artists like
Barbra Streisand, the Carpenters, Dionne Warwick, Barry Manilow, John Denver, and Olivia
Newton-John found it harder to have major Top 40 hits as the 1980s wore on, and due to the",Adult contemporary radio played tracks from popular artists that varied based on how much the passing pop music trends of the times appealed to adult listeners.,2.79,6.73,9.52
What type of format were adult contemporary and easy listening stations meant to share?,lite,"Answer: Modern adult contemporary differs from other radio formats in that it includes modern rock titles in its presentation, whereas other formats may focus on older or more traditional music.
Score: 0.83
Answer: It adopted a different mix of vocals and instruments compared to other formats.
Score: 0.75
Answer: Radio stations play a significant role in shaping the sound of modern adult contemporary with modern rock titles by selecting and playing the music that is included in the format.
Score: 0.75",Adult contemporary and easy listening stations were meant to share a format that focused on older or more traditional music.,Q-A Index,2.74,5.65,8.39,"Daniel, Steve O'Brien, Dick Summers, Don Bleu and Tom Parker made it possible to fully monetize
the format and provide the foundation for financial success enjoyed to this day On April 7, 1979, the
Easy Listening chart officially became known as Adult Contemporary, and those two words have
remained consistent in the name of the chart ever since. Adult contemporary music became one of

Cranberries, Lifehouse, Sarah McLachlan, Sara Bareilles, John Mayer, Jewel, and Ingrid
Michaelson. Unlike modern rock, which went after 18-34 men, this format appealed to women.
Another big impetus for the evolution of the AC radio format was the popularity of easy listening or
""beautiful music"" stations, stations with music specifically designed to be purely ambient. Whereas

conservative radio stations wanted to continue to play current hit songs while shying away from
rock. These middle of the road (or ""MOR"") stations also frequently included older, pre-rock-era adult
standards and big band titles to further appeal to adult listeners who had grown up with those songs.
Adult contemporary traces its roots to the 1960s easy listening format, which adopted a 70-80%",Adult contemporary and easy listening stations were meant to share an ambient music style that appealed to adult listeners.,2.73,5.66,8.39
As of what year was hard rock a mainstream type of music?,1965,"Answer: By 1965.
Score: 0.95
Answer: The time period was from the end of the 1960s.
Score: 0.93
Answer: Hard rock music had been established as a mainstream genre by 1965, meaning it had gained widespread popularity and recognition as a distinct subgenre of rock music.
Score: 0.85",Hard rock was established as a mainstream type of music by 1965.,Q-A Index,2.92,4.66,7.58,"divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other

Listening chart July 17, 1961, with 20 songs; the first number one was ""Boll Weevil Song"" by Brook
Benton. The chart described itself as ""not too far out in either direction"". Hard rock had been
Adult_contemporary_music
established as a mainstream genre by 1965. From the end of the 1960s, it became common to

most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and
quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string
arrangements and horn charts, were constants. One big impetus for the development of the AC
radio format was that, when rock and roll music first became popular in the mid-1950s, many more",Hard rock had been established as a mainstream genre by 1965.,3,4.76,7.76
"Along with soft rock, what type of music made up mainstream rock music in the late 1960s?",hard rock,"Answer: It became common to divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in the US.
Score: 0.86
Answer: Toto, England Dan & John Ford Coley, Air Supply, Seals and Crofts, America, and Fleetwood Mac.
Score: 0.81
Answer: Hard rock music had been established as a mainstream genre by 1965, meaning it had gained widespread popularity and recognition as a distinct subgenre of rock music.
Score: 0.80",Hard rock,Q-A Index,2.81,2.88,5.69,"divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other

most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and
quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string
arrangements and horn charts, were constants. One big impetus for the development of the AC
radio format was that, when rock and roll music first became popular in the mid-1950s, many more

Adult_contemporary_music
varied based on how much the passing pop music trends of the times appealed to adult listeners.
Not many disco or new wave songs were particularly successful on the AC chart during the late
1970s and early 1980s, and much of the hip-hop and harder rock music featured on CHR formats",Hard rock,2.69,3,5.69
What type of instruments were prominent in soft rock? ,acoustic,"Answer: Folk rock.
Score: 0.81
Answer: Toto, England Dan & John Ford Coley, Air Supply, Seals and Crofts, America, and the reformed Fleetwood Mac.
Score: 0.77
Answer: Soft Rock had a more polished, refined sound compared to other genres of rock music.
Score: 0.76",Folk instruments were prominent in soft rock.,Q-A Index,2.66,3.65,6.31,"divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other

sentimental ballads which mostly use acoustic instruments (though bass guitar is usually used) such
as acoustic guitars, pianos, saxophones, and sometimes an orchestral set. The electric guitars are
normally faint and high-pitched. However, recent adult contemporary music may usually feature
synthesizers (and other electronics, such as drum machines). Soft rock reached its commercial peak

acoustic equivalent to Prozac"", soft adult contemporary, a more adult-oriented version of AC, was
born in the late 1970s and grew in the early 1980s. WEEI-FM in Boston was the first station to use
the term ""soft rock"", with ad slogans such as, ""Fleetwood Mac ... without the yack"" and ""Joni ...
without the baloney"". The vast majority of music played on soft AC stations is mellow, more","In soft rock, acoustic instruments such as guitars, pianos, and saxophones were prominent.",2.68,5.83,8.51
What genre of music was soft rock descended from?,folk rock,"Answer: Folk rock.
Score: 0.91
Answer: The Soft Rock genre emerged in the late 1960s and early 1970s.
Score: 0.89
Answer: The Soft Rock genre evolved into other subgenres, such as adult contemporary and smooth jazz, in the 1980s and 1990s.
Score: 0.88",Folk rock.,Q-A Index,3.09,2.96,6.06,"divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other

acoustic equivalent to Prozac"", soft adult contemporary, a more adult-oriented version of AC, was
born in the late 1970s and grew in the early 1980s. WEEI-FM in Boston was the first station to use
the term ""soft rock"", with ad slogans such as, ""Fleetwood Mac ... without the yack"" and ""Joni ...
without the baloney"". The vast majority of music played on soft AC stations is mellow, more

most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and
quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string
arrangements and horn charts, were constants. One big impetus for the development of the AC
radio format was that, when rock and roll music first became popular in the mid-1950s, many more","Soft rock was often derived from folk rock, using acoustic instruments and putting more emphasis on melody and harmonies.",2.73,5.92,8.65
"Along with Barbra Streisand, Carole King, Cat Stevens and Bread, who was a prominent soft rock artist of this era?",James Taylor,"divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other
crossover between the Hot 100 and Easy Listening chart than there had been in the early half of the
1960s. Roger Miller, Barbra Streisand and Bobby Vinton were among the chart's most popular
Adult_contemporary_music
performers. Unlike the majority of 1980s mainstream singers, the 1990s mainstream pop/R&B
singers such as All-4-One, Boyz II Men, Rob Thomas, Christina Aguilera, Backstreet Boys and
(George Benson, Patti Austin, Al Jarreau) and stylish crossover R&B (Anita Baker and Luther
Vandross, New Edition and Keith Sweat) were equally successful within the mainstream. In the
1990s and early 2000s (decade), artists as sonically contrasting as R. Kelly, Leona Lewis (mainly
ballads) and Jill Scott both fit the bill, provided the audience for the material was mature. By riding",Barbra Streisand,Traditional RAG,2.82,3.46,6.28,"divide mainstream rock music into soft and hard rock, with both emerging as major radio formats in
the US. Soft rock was often derived from folk rock, using acoustic instruments and putting more
emphasis on melody and harmonies. Major artists included Barbra Streisand, Carole King, Cat
Stevens, James Taylor and Bread. Anita Baker, Sade, Regina Belle, and Luther Vandross are other

crossover between the Hot 100 and Easy Listening chart than there had been in the early half of the
1960s. Roger Miller, Barbra Streisand and Bobby Vinton were among the chart's most popular
Adult_contemporary_music
performers. Unlike the majority of 1980s mainstream singers, the 1990s mainstream pop/R&B
singers such as All-4-One, Boyz II Men, Rob Thomas, Christina Aguilera, Backstreet Boys and

(George Benson, Patti Austin, Al Jarreau) and stylish crossover R&B (Anita Baker and Luther
Vandross, New Edition and Keith Sweat) were equally successful within the mainstream. In the
1990s and early 2000s (decade), artists as sonically contrasting as R. Kelly, Leona Lewis (mainly
ballads) and Jill Scott both fit the bill, provided the audience for the material was mature. By riding",Barry Manilow,2.71,2.79,5.5
At the end of what decade did the Hot 100 and Easy Listening charts begin to converge?,1960s,"Answer: Toward the end of the 1960s and into the early and mid-1970s.
Score: 0.93
Answer: There was a decrease in crossover between the two charts in the late 1960s.
Score: 0.87
Answer: There was much less crossover between the two charts than there had been in the early half of the decade.
Score: 0.86",The Hot 100 and Easy Listening charts began to converge at the end of the 1960s.,Q-A Index,2.66,5.54,8.2,"though they include the more youth-oriented teen pop, urban and rhythmic dance tracks. The Hot
100 and Easy Listening charts became more similar again toward the end of the 1960s and into the
early and mid-1970s, when the texture of much of the music played on Top 40 radio once more
began to soften. The adult contemporary format began evolving into the sound that later defined it,

played specific genres of music, and generally followed the evolution of artists in those genres. After
1965, differences between the Hot 100 chart and the Easy Listening chart became more
pronounced. Better reflecting what middle of the road stations were actually playing, the composition
of the chart changed dramatically. As rock music continued to harden, there was much less

Daniel, Steve O'Brien, Dick Summers, Don Bleu and Tom Parker made it possible to fully monetize
the format and provide the foundation for financial success enjoyed to this day On April 7, 1979, the
Easy Listening chart officially became known as Adult Contemporary, and those two words have
remained consistent in the name of the chart ever since. Adult contemporary music became one of","The Hot 100 and Easy Listening charts began to converge towards the end of the 1960s and into the early and mid-1970s, as the texture of music played on Top 40 radio softened.",2.7,9.65,12.35
