chunk,question,answer
74,چین فلا ئننگ ڈرائنگ کمپنی کا کیا کردار تھا؟,چین فلا ئننگ ڈرائنگ کمپنی نے ایک ایم آئی 26 ہیلی کاپٹر استعمال کیا تاکہ بھاری زمین کی کھدائی کرنے والے ٹھیکیداروں کو متبادل مقام پر لایا جا سکے۔
74,پی آئی اے ایف ایم آئی 17 ہیلی کاپٹروں کا استعمال کس مقصد کے لئے کیا گیا؟,پی آئی اے ایف ایم آئی 17 ہیلی کاپٹروں کا استعمال دھماکہ خیز ماہرین اور دیگر اہلکاروں کو 1200 فوجیوں میں شامل کرنے کے لئے کیا گیا۔
74,مشینری کو چلانے کے لئے کون سا ایندھن استعمال کیا گیا؟,مشینری کو چلانے کے لئے پانچ ٹن ایندھن ہوا بازی جہاز کے ذریعے سائٹ پر پہنچایا گیا تھا۔
74,پانی کو محفوظ طریقے سے خارج کرنے کے لئے کیا کیا گیا؟,پانی کو محفوظ طریقے سے خارج کرنے کے لئے ایک تالاب تعمیر کیا گیا تھا۔
75,"کب 200،000 سے زیادہ لوگوں کو نکالا گیا؟"," 19 مئی 2008 کو 200،000 سے زیادہ لوگوں کو نکالا گیا۔"
75, 19 مئی 2008 کو کیا اعلان کیا گیا؟, 19 مئی 2008 کو زلزلے کے متاثرین کے لیے تین روزہ قومی سوگ کا اعلان کیا گیا۔
75,چین میں قومی سوگ کا اعلان کس کے لیے کیا گیا تھا؟,قومی سوگ کا اعلان زلزلے کے متاثرین کے لیے کیا گیا تھا۔
75,چین کے عوام نے 19 مئی 2008 کو کیا کیا؟,چین کے عوام نے 19 مئی 2008 کو ایک منٹ کی خاموشی اختیار کی۔
75,خاموشی کے دوران لوگوں نے کیا کیا؟,"لوگ تین منٹ کے لیے خاموش کھڑے رہے جبکہ فضائی دفاع، پولیس اور فائر سائرن بجتے رہے۔"
76,وزارت سول امور نے چینی عوام کی جانب سے کتنے بلین یوآن کا عطیہ دیا؟,چینی عوام نے 10.7 بلین یوآن کا عطیہ دیا۔
76,ہیوسٹن ریکنز نے کس ادارے کو عطیہ دیا اور اس کی مقدار کیا تھی؟,"ہیوسٹن ریکنز نے ریڈ کراس سوسائٹی آف چین کو 214,000 ڈالر اور 71,000 ڈالر کا عطیہ دیا۔"
76,ایسو سئی ایشن نے اب تک کتنے ملین ڈالر کے عطیات جمع کیے ہیں؟,ایسو سئی ایشن نے اب تک مجموعی طور پر 26 ملین ڈالر کے عطیات جمع کیے ہیں۔
76,چینی حکومت کا اندازہ ہے کہ زلزلے میں کتنے ناکافی طور پر انجنیئرڈ اسکول متاثر ہوئے؟,"چینی حکومت کا اندازہ ہے کہ زلزلے میں 7,000 سے زیادہ ناکافی طور پر انجنیئرڈ اسکول متاثر ہوئے۔"
76,چینی شہریوں نے کس جملے کا استعمال کیا ہے جس کا مطلب ناقص تعمیرات کے معیار اور مقدار کا مذاق اڑانا ہے؟,"چینی شہریوں نے ""توفو ڈرائیگس اسکول ہاؤسز"" کا جملہ استعمال کیا ہے۔"
77,زلزلے کے دوران بہت سے خاندانوں نے اپنے واحد بچے کو کہاں بھیجا؟,زلزلے کے دوران بہت سے خاندانوں نے اپنے واحد بچے کو اسکول بھیجا۔
77,زلزلے کے نتیجے میں کون سے اداروں نے پابندی ختم کی؟,سیچوان صوبائی اور مقامی عہدیداروں نے پابندی ختم کی۔
77, 18 سال سے کم عمر کے بچوں کے لیے کیا قانونی متبادل فراہم کیا جا سکتا ہے؟,18 سال سے کم عمر کے بچوں کے لیے قانونی متبادل کے طور پر ان کے مردہ بہن بھائیوں کے لیے رجسٹر کیا جا سکتا ہے۔
77,اگر مردہ بچہ غیر قانونی ہو تو کیا مزید جرمانے لاگو نہیں ہوں گے؟,اگر مردہ بچہ غیر قانونی ہو تو مزید جرمانے لاگو نہیں ہوں گے۔
77,وینچوان کا کون سا علاقہ امدادی کوششوں پر اثر انداز ہوا؟,وینچوان کا قریبی علاقہ مسلسل شدید بارش اور لینڈ سلائیڈنگ کی وجہ سے امدادی کوششوں کو بری طرح متاثر کیا۔
78,12 مئی کو امدادی کارروائیوں کے آغاز پر کون سی امداد فراہم کی گئی؟,"12 مئی کو ہیلے کاپٹر، کھانے، پانی اور ہنگامی امداد کی فراہمی کے لئے تعینات کیے گئے تھے۔"
78,12 مئی کو چینگدو ملٹری ریجن میں کتنے فوجی اور ملیشیا ریزرو امدادی فورس میں شامل ہوئے؟,"12 مئی کو چینگدو ملٹری ریجن میں 15,600 سے زیادہ فوجی اور ملیشیا ریزرو امدادی فورس میں شامل ہوئے۔"
78,امدادی کارروائیوں کے دوران تقریباً کتنے زندہ بچے جان بچانے والے تھے؟,"تقریباً 3,000 زندہ بچے جان بچانے والے تھے۔"
78,12 مئی کو وینچوان کی نشست میں مواصلات کی حالت کیسی تھی؟,12 مئی کو وینچوان کی نشست میں مواصلات جزوی طور پر بحال ہوئی تھی۔
78,زلزلے کے متاثرہ علاقوں میں زخمیوں کی انخلاء اور تفتیش کے لئے کیا اقدامات کئے گئے؟,زلزلے کے متاثرہ علاقوں میں زخمیوں کی انخلاء اور تفتیش کے لئے امدادی کارروائیاں شروع کی گئیں۔
79,15 مئی کی دوپہر کو کیا واقعہ پیش آیا؟,"15 مئی کی دوپہر کو 15 اسپیشل آپریشنز ٹروپس، امدادی سامان اور مواصلات کے سامان کے ساتھ، وینچوان کے شمال مشرق میں ناقابل رسائی ماؤ کانگ میں پیراشوٹ ہوئے۔"
79,بیجنگ اولمپک مشعل ریلی کی تنظیم نے کیا اعلان کیا؟,بیجنگ اولمپک مشعل ریلی کی تنظیم نے اعلان کیا کہ قومی صبح کے دوران ننگبو میں ہونے والی ریلی کو سوگ کی مدت کے لئے معطل کردیا جائے گا۔
79,زلزلے کے بعد ملک میں کیا تبدیلیاں کی گئیں؟,زلزلے کے بعد ملک میں مشعل کے راستے کو کم کیا گیا تھا۔
79,جب اگلے مرحلے کا آغاز ہوا تو کیا ہوا؟,جب اگلے مرحلے کا آغاز ہوا تو جیانگسی شہر میں ایک منٹ کی خاموشی رہی۔
79,تمام مینلینڈ چینی نیشنل ویژن نے کیا اقدام کیا؟,تمام مینلینڈ چینی نیشنل ویژن نے تمام باقاعدگی سے شیڈول پروگرام کو منسوخ کردیا اور اپنے لوگوں کو گرے اسکیل میں ظاہر کیا۔
80,زلزلے کے بعد چین کے لوگوں نے کن چیزوں کے پاس عطیات دیے؟,"چین کے لوگوں نے اسکولوں، بینکوں اور گیس اسٹیشنوں کے پاس عطیات دیے۔"
80,زلزلے کے بعد خون کا عطیہ دینے والوں کی تعداد کس طرح کی گئی؟,"لوگوں نے خون کا عطیہ دیا، جس کے نتیجے میں چین کے بڑے شہروں میں لمبی قطاریں کھڑی ہو گئیں۔"
80,چین کی حکومت نے زلزلے کی امداد کے لیے کتنی رقم مختص کی؟,چینی حکومت نے زلزلے کی امداد کے لیے مجموعی طور پر 772 ملین ڈالر مختص کیے تھے۔
80,14 مئی سے پہلے زلزلے کی امداد کے لیے مختص رقم کتنی تھی؟,14 مئی سے پہلے زلزلے کی امداد کے لیے 159 ملین ڈالر مختص کیے گئے تھے۔
80,زلزلے کے متاثرین کے خاندانوں کی حالت کیا ہے؟,متاثرین کے خاندان اب بھی معاوضہ اور انصاف کی تلاش میں ہیں۔
81,حکومت نے والدین کو کس چیز کی دھمکی دی تھی؟,حکومت نے والدین کو گرفتاری کی دھمکی دی تھی۔
81,مرکزی زلزلے کے دوران کتنے زلزلے ریکارڈ کیے گئے؟,مرکزی زلزلے کے دوران 72 زلزلے ریکارڈ کیے گئے۔
81,سب سے مضبوط زلزلے کی پیمائش کیا تھی؟,سب سے مضبوط زلزلے کی پیمائش 6.4 MS تھی۔
81,5 اگست 2008 کو کیا ہوا؟,5 اگست 2008 کو تازہ ترین زلزلہ ہوا۔
81,لوگوں نے زلزلے کے بعد کس چیز کا عطیہ دیا؟,لوگوں نے خون کا عطیہ دیا۔
82,چین کی حکومت نے زلزلے کی امداد کے لیے کتنی رقم مختص کی ہے؟,چین کی حکومت نے زلزلے کی امداد کے لیے مجموعی طور پر 772 ملین ڈالر مختص کیے ہیں۔
82,14 مئی تک زلزلے کی امداد کی رقم میں کتنی تیزی سے اضافہ ہوا؟,14 مئی تک زلزلے کی امداد کی رقم 159 ملین ڈالر سے تیزی سے بڑھ گئی تھی۔
82,چینی حکومت نے والدین کو کیا خبردار کیا تھا؟,چینی حکومت نے والدین کو خبردار کیا تھا کہ وہ گرفتاری کی دھمکی کے تحت احتجاج نہ کریں۔
82,بہت سے خاندانوں نے اپنے اکلوتے بچے کو کیا دیا ہے؟,بہت سے خاندانوں نے اپنے اکلوتے بچے کو کھو دیا ہے۔
82,چین کی ریڈ کراس سوسائٹی نے کتنی رقم کی قیمت کی امداد فراہم کی؟,"چین کی ریڈ کراس سوسائٹی نے 788,000 یوان (113,000 امریکی ڈالر) کی قیمت کی امداد فراہم کی۔"
83,امینی فاؤنڈیشن نے امدادی کام کب شروع کیا؟,امینی فاؤنڈیشن نے پہلے ہی اس خطے میں امدادی کام شروع کیا ہے۔
83,زلزلے کے بعد چین کی حکومت نے امداد کے لیے کتنے ملین ڈالر مختص کیے؟,چین کی حکومت نے زلزلے کی امداد کے لیے مجموعی طور پر 772 ملین ڈالر مختص کیے۔
83,سیچوان وزارت سول امور نے بے گھر افراد کے لیے کتنے خیمے فراہم کیے؟,"سیچوان وزارت سول امور نے بے گھر افراد کے لیے 30,000 خیمے فراہم کیے۔"
83,لوگوں نے زلزلے کے بعد کس چیز کا عطیہ دیا؟,لوگوں نے خون کا عطیہ دیا۔
83,16 مئی تک چین کی حکومت کی امداد میں کتنے ملین ڈالر کا اضافہ ہوا؟,16 مئی تک چین کی حکومت کی امداد میں 159 ملین ڈالر کا اضافہ ہوا۔
84,لیو شاکون کو کب حراست میں لیا گیا تھا؟,لیو شاکون کو 25 جون 2008 کو حراست میں لیا گیا تھا۔
84,لیو شاکون پر کیا الزام عائد کیا گیا تھا؟,لیو شاکون پر افواہیں پھیلانے اور معاشرتی نظم و ضبط کو تباہ کرنے کے الزام میں حراست میں لیا گیا تھا۔
84,لیو شاکون نے حراست کے دوران کیا کیا؟,"لیو نے شفافنگ کا سفر کیا، گرنے والی اسکول کی عمارتوں کی تصاویر لیں، اور انہیں آن لائن ڈال دیا۔"
84,لیو شاکون کو دوبارہ تعلیم دینے کا حکم کب دیا گیا؟,لیو شاکون کو ایک سال بعد دوبارہ تعلیم دینے کا حکم دیا گیا تھا۔
84,لیو شاکون کو کس تنظیم کی طرف سے سزا دی گئی؟,"لیو شاکون کو انسانی حقوق کی تنظیم کے مطابق، لیبر کیمپ سے باہر اپنی آرٹ کی خدمت کرنے کے لیے رہا کیا گیا۔"
85,چینی حکومت نے زلزلے کے جواب میں کس کی تعریف کی؟,چینی حکومت نے خاص طور پر میانمار کے حکمران فوجی جنرلس کی تعریف کی۔
85,زلزلے کے بعد اسکیول کی تعمیر میں کیا کمی دیکھی گئی؟,زلزلے کے بعد اسکیول کی تعمیر کے اعتماد میں کمی دیکھی گئی۔
85,زلزلے کی پیش گوئی کے بارے میں ماہرین اور عوام نے کیا معلومات حاصل کیں؟,ماہرین اور عوام نے معلومات حاصل کیں کہ آیا زلزلے کی پیش گوئی پہلے سے کی جا سکتی ہے یا نہیں۔
85,زلزلے کی پیش گوئی کے بارے میں سائنسی برادری کا کیا موقف ہے؟,سائنسی برادری کے اندر کوئی اتفاق رائے نہیں ہے کہ زلزلے کی پیش گوئی ممکن ہے۔
85,16 مئی کو کس کس ملک کے امدادی گروپ امدادی کوششوں میں شامل ہوئے؟,"16 مئی کو جنوبی کوریا، جاپان، سنگاپور، روس اور تائیوان کے امدادی گروپ امدادی کوششوں میں شامل ہوئے۔"
86,زلزلے سے متاثرہ علاقہ جات میں چین کے حکام نے کیا اقدام کیا؟,چین کے حکام نے زلزلے سے متاثرہ علاقہ جات کی اپنی کچھ سیٹلائٹ تصاویر جاری کیں۔
86,امریکہ نے چین میں کب اور کیا سامان بھیجا؟,"امریکہ نے 17 ستمبر کو چین میں دو امریکی فضائیہ کے سامان بھیجے، جن میں خیمے اور جنریٹر شامل تھے۔"
86,سنیہوا نے کتنے چینی فوجی اور میڈکس کی امدادی کوششوں میں شمولیت کی رپورٹ کی؟,"سنیہوا نے رپورٹ کیا کہ 135,000 چینی فوجی اور میڈکس 58 کونٹیوں اور شہروں میں امدادی کوششوں میں شامل تھے۔"
86,نیو یارک ٹائمز نے بیجنگ اور سیچوان میں کیا رپورٹ کیا؟,نیو یارک ٹائمز نے رپورٹ کیا کہ بیجنگ اور سیچوان میں سرکاری عہدیداروں نے کہا ہے کہ وہ گرنے کی تحقیقات کر رہے ہیں۔
86,نیشنل ڈویلپمنٹ کمیشن نے 27 مئی کو کیا کہا؟,نیشنل ڈویلپمنٹ کمیشن نے کہا کہ انہوں نے دیہی علاقوں میں پرائمری اور مڈل اسکولوں کے لیے تعمیری معیار کو بہتر بنانے کے لیے ایک ترمیم کا مسودہ تیار کیا ہے۔
87,احتجاج کو محدود کرنے کے لیے والدین کو کس چیز پر دستخط کرنے پر مجبور کیا گیا؟,والدین کو ایک دستاویز پر دستخط کرنے پر مجبور کیا گیا جس میں انہیں احتجاج کرنے سے منع کیا گیا۔
87,والدین کو کتنی رقم کی پیشکش کی گئی تھی؟,"والدین کو 8,800 امریکی ڈالر کی ایک پیکج اور تقریباً 5,600 امریکی ڈالر کی فی والدین پنشن کی پیشکش کی گئی۔"
87,احتجاج کو توڑنے کے لیے حکام نے کیا اقدام کیا؟,حکام نے اسکولوں کے ارد گرد کورڈونز قائم کیے۔
87,احتجاج کے دوران والدین کے احتجاج کو کس نے توڑا؟,والدین کے احتجاج کو پولیس کے افسران نے توڑا۔
87,عہدیداروں نے چینی نیوز میڈیا کو کیا ہدایت دی؟,عہدیداروں نے چینی نیوز میڈیا کو ہدایت دی کہ وہ اسکول کے خاتمے پر رپورٹ کرنا بند کر دیں۔
88,چینی حکومت کی امدادی کوششوں کو مغربی میڈیا نے کس واقعے کے دوران سراہا؟,چینی حکومت کی امدادی کوششوں کو مغربی میڈیا نے سمندری طوفان نرگس کے دوران سراہا۔
88,1976 کے تانگشان زلزلے کے دوران چینی حکومت کی کارکردگی کا کیا حال تھا؟,1976 کے تانگشان زلزلے کے دوران چینی حکومت کی کارکردگی کا موازنہ کیا گیا اور اس کی امدادی کوششوں کو سراہا گیا۔
88,چینی میڈیا کی بین الاقوامی معیارات پر کیا حیثیت ہے؟,"چینی میڈیا بین الاقوامی معیارات پر پورا اترتا ہے، جیسا کہ ایک پروفیسر نے کہا۔"
88,نیو یارک ٹائمز نے چینی میڈیا کی کورئج کی تعریف کس حوالے سے کی؟,نیو یارک ٹائمز نے چینی میڈیا کی کورئج کی تعریف زلزلے کے دوران کی۔
88,بیجنگ اور سیچوان میں سرکاری عہدیداروں نے کیا کہا ہے؟,بیجنگ اور سیچوان میں سرکاری عہدیداروں نے کہا ہے کہ وہ گرانے کی تحقیقات کر رہے ہیں۔
89,دئیے گئے پیراگراف میں کس کمی کا اعتراف کیا گیا ہے؟,پیراگراف میں دئیے گئے علاقوں میں تعمیری کوڈ کی کمزوری کا اعتراف کیا گیا ہے۔
89,نیشنل ڈویلپمنٹ اینڈ ریفارم کمیشن نے کب کہا کہ وہ تعمیری معیارات کو بہتر بنانے کے لیے ایک ترمیم کا مسودہ تیار کر رہا ہے؟,نیشنل ڈویلپمنٹ اینڈ ریفارم کمیشن نے 27 مئی کو کہا کہ وہ تعمیری معیارات کو بہتر بنانے کے لیے ایک ترمیم کا مسودہ تیار کر رہا ہے۔
89,والدین کو دستاویز پر دستخط کرنے پر کیوں مجبور کیا گیا؟,والدین کو احتجاج کو محدود کرنے کے لیے ایک دستاویز پر دستخط کرنے پر مجبور کیا گیا۔
89,والدین کو کتنی رقم کی ادائیگی کی گئی؟,"والدین کو تقریباً 8,800 امریکی ڈالر کا ایک پیکج اور تقریباً 5,600 امریکی ڈالر کی فی ادائیگی کی گئی۔"
89,عہدے داروں نے خاموشی کے کس طریقے کا استعمال کیا؟,عہدے داروں نے خاموشی کے دیگر طریقوں کا استعمال کیا۔
90,والدین نے کس چیز کے خلاف احتجاج کیا؟,والدین نے فسادات پولیس کے خلاف احتجاج کیا۔
90,حکام نے اسکولوں کے ارد گرد کیا قائم کیا؟,حکام نے اسکولوں کے ارد گرد کورڈونز قائم کیے۔
90,چینی نیوز میڈیا کو کیا کرنے کا حکم دیا گیا؟,چینی نیوز میڈیا کو اسکول کے خاتمے کے بارے میں رپورٹ کرنا بند کرنے کا حکم دیا گیا۔
90,چین فائننگ ڈرائیگن کمپنی کے ساتھ کس قسم کا تعلق تھا؟,چین فائننگ ڈرائیگن کمپنی کے ساتھ ایک ایم آئی 26 ہیلی کاپٹر کا تعلق تھا۔
90,"دھماکہ خیز مہارتوں کو 1,200 فوجیوں میں شامل کرنے کے لیے کیا کیا گیا؟","دھماکہ خیز مہارتوں کو 1,200 فوجیوں میں شامل کرنے کے لیے پی آئی اے انجینئرنگ کور کے ذریعے کیا گیا۔"
91,مشینی کو چلانے کے لیے کیا ایندھن استعمال ہوا؟,پانچ ٹن ایندھن ہوائی جہاز کے ذریعے سائٹ پر پہنچایا گیا تھا۔
91,بند پانی کے محفوظ اخراج کے لیے کیا تعمیر کیا گیا؟,بند پانی کے محفوظ اخراج کے لیے ایک تالاب تعمیر کیا گیا تھا۔
91,18 مئی کی شام کو سی سی ٹی وی ون نے کیا پروگرام منعقد کیا؟,"سی سی ٹی وی ون نے ""محبت کا دینا"" نامی ایک خصوصی چار گھنٹوں کے پروگرام کی میزبانی کی۔"
91,شام کے عطیات کی مجموعی رقم کتنی تھی؟,شام کے عطیات کی مجموعی رقم 1.5 بلین چینی یوآن (~ 208 ملین امریکی ڈالر) تھی۔
91,سی سی ٹی وی ون نے 50 ملین یوان میں کیا خاص کام کیا؟,سی سی ٹی وی ون نے 50 ملین یوان پر سب سے بڑی کاروباری شراکت دی۔
92,"ہدایات کے مطابق، تقریباً کس وقت میں تايوان میں پروگرام کی میزبانی کی گئی؟",تقریباً ایک ہی وقت میں۔
92,ہانگ کانگ کے اداکار نے کتنی رقم عطیہ کی؟,ہانگ کانگ کے اداکار نے 1.57 ملین ڈالر کا عطیہ کیا۔
92,"گانا ""اینڈی لاو"" کس نے تشکیل دیا؟","گانا ""اینڈی لاو"" ہانگ کانگ کے اداکار نے تشکیل دیا۔"
92,تقریب میں کتنے سنیوفائیر موسیقاروں اور مشہور شخصیات نے شرکت کی؟,تقریب میں تقریباً 200 سنیوفائیر موسیقاروں اور مشہور شخصیات نے شرکت کی۔
92,وزارت سول امور نے چینی عوام کو کتنی رقم کا عطیہ بتایا؟,وزارت سول امور نے چینی عوام کو 10.7 بلین یوآن (تقریباً 1.5 بلین امریکی ڈالر) کا عطیہ بتایا۔
93,ہیوسٹن راکٹس کس ملک کی مشہور کھیلوں کی ٹیم ہے؟,ہیوسٹن راکٹس امریکہ کی مشہور کھیلوں کی ٹیم ہے۔
93,نی ریڈ کراس سوسائٹی آف چائن کو کتنی رقم دی گئی؟,"نی ریڈ کراس سوسائٹی آف چائن کو $214,000 اور $71,000 دی گئی۔"
93,ای ایس او ایس آئی نے اب تک کتنی رقم عطیہ کی ہے؟,ای ایس او ایس آئی نے اب تک مجموعی طور پر 26 ملین ڈالر عطیات جمع کیے ہیں۔
93,15 مئی 2008 کو گلوب انڈ میل ڈاٹ کام نے کیا اطلاع دی؟,گلوب انڈ میل ڈاٹ کام نے اطلاع دی کہ خراب تعمیر شدہ عمارتوں کو عام طور پر شفاف عمارتیں کہا جاتا ہے۔
93,تعمیرات میں کن چیزوں کا استعمال کیا جاتا ہے؟,تعمیرات میں کم گریڈ سیمنٹ کا استعمال کیا جاتا ہے اور پتلی لوہے کی تاروں کے ساتھ اسٹیل کی سلاخوں کا استعمال کیا جاتا ہے۔
94,سانگزاؤ ماڈل اسکول کے پرنسپل نے کتنے طلباء کی زندگیوں کو بچانے کے لیے فعال کارروائی کی؟,"سانگزاؤ ماڈل اسکول کے پرنسپل نے 2,323 طلباء کی زندگیوں کو بچانے کے لیے فعال کارروائی کی۔"
94,سانگزاؤ ماڈل اسکول کے پرنسپل نے کب اپنی کارروائیاں شروع کیں؟,سانگزاؤ ماڈل اسکول کے پرنسپل نے 2007 میں اپنی کارروائیاں شروع کیں۔
94,پرنسپل نے اپنے اسکول کی بحالی کے لیے کتنی رقم حاصل کی؟,"پرنسپل نے اپنے اسکول کی بحالی کے لیے 400,000 امریکی ڈالر سے زیادہ حاصل کی۔"
94,حاصل کردہ رقم کا استعمال کس مقصد کے لیے کیا گیا؟,حاصل کردہ رقم کا استعمال اسکول کی کنکریٹ ستونوں اور بالکونی ریلنگ کو وسیع اور مضبوط کرنے کے لیے کیا گیا۔
94,انٹرنیشنل فیڈریشن آف ریڈ کراس نے منگل کو کیا قرار دیا؟,انٹرنیشنل فیڈریشن آف ریڈ کراس نے منگل کو چینی امدادی کوششوں کو تیز اور بہت مؤثر قرار دیا۔
95,تباہی کا پیمانہ کیا تھا جس کا ذکر کیا گیا ہے؟,تباہی کا پیمانہ یہ تھا کہ حکومت سب کچھ کر سکتی ہے اور ضروریات کے ہر پہلو کو سنبھال سکتی ہے۔
95,چین نے تباہی پر کیا رد عمل ظاہر کیا؟,چین نے تباہی پر تیزی سے اور غیر معمولی کھیل کے ساتھ رد عمل ظاہر کیا۔
95,18 مئی کی شام کو سی سی ٹی وی نے کس پروگرام کی میزبان کی؟,"18 مئی کی شام کو سی سی ٹی وی نے ""دی گیوونگ آف محبت"" نامی پروگرام کی میزبان کی۔"
95,اس پروگرام میں کون کون سے ممالک کے افراد شامل تھے؟,"اس پروگرام میں چین، ہانگ کانگ، سنگاپور اور تائیوان کے تفریحی، ادبی، کاروباری اور سیاسی شخصیات شامل تھیں۔"
95,"""دی گیوونگ آف محبت"" پروگرام میں کس قسم کی سرگرمیاں شامل تھیں؟",اس پروگرام میں باقاعدہ افراد اور چوبیس گھنے کورئج اینکرز نے شرکت کی تھی۔
96,شام کے عطیات کی مجموعی رقم کیا تھی؟,شام کے عطیات کی مجموعی رقم 1.5 بلین چینی یوآن (~ 208 ملین امریکی ڈالر) تھی۔
96,سی سی این وی نے کتنے ملین یوآن کی سب سے بڑی کارپوریٹ شراکت دی؟,سی سی این وی نے 50 ملین یوآن کی سب سے بڑی کارپوریٹ شراکت دی۔
96,ہانگ کانگ کے اداکار نے کتنے ملین ڈالر کا عطیہ کیا؟,ہانگ کانگ کے اداکار نے 1.57 ملین ڈالر کا عطیہ کیا۔
96,جون میں ہانگ کانگ میں فنڈ ریزنگ مہم کا انعقاد کس کے لیے کیا گیا تھا؟,جون میں ہانگ کانگ میں فنڈ ریزنگ مہم کا انعقاد متاثرين کے لیے کیا گیا تھا۔
96,سنگاپور میں 'لا ئیو' پروگرام کی میزبانی کس نے کی؟,سنگاپور میں 'لا ئیو' پروگرام کی میزبانی میڈ یا کارپ چینل 8 نے کی۔
97,چین زلزلہ انتظامیہ کے مطابق زلزلہ کب آیا؟,چین زلزلہ انتظامیہ کے مطابق زلزلہ لاگ  مینشن فالٹ کے ساتھ ہوا۔
97,زلزلے کی شدت کا اندازہ کس طرح لگایا گیا؟,"زلزلے کی شدت کا اندازہ اس کے درمیانی فریکوئنسی پر لگایا گیا، جسے ینگسٹو-بےچوان فریکوئنسی کے نام سے جانا جاتا ہے۔"
97,زلزلے کی شدت کتنی دیر تک جاری رہی؟,زلزلے کی شدت تقریباً 120 سیکنڈ تک جاری رہی۔
97,زلزلے کی اوسط رفتار کیا تھی؟,زلزلے کی اوسط رفتار 3.1 کلومیٹر فی سیکنڈ تھی۔
97,زلزلے کے نتیجے میں کتنے کلومیٹر تک نقصان ہوا؟,زلزلے کے نتیجے میں تقریباً 300 کلومیٹر تک نقصان ہوا۔
98,زلزلے کے بارے میں کس کانفرنس میں معلومات فراہم کی گئی؟,زلزلے کے بارے میں معلومات اسنیٹ کونسل انفارمیشن آفس کے زیر اہتمام ایک پریس کانفرنس میں فراہم کی گئی۔
98,زلزلے کی شدت کیا تھی؟,زلزلے کی شدت 8.0 ایم ایس اور 7.9 میگاوٹ تھی۔
98,زلزلے کی پیش گوئی کے بارے میں کیا کہا گیا؟,زلزلے کی پیش گوئی کے بارے میں کہا گیا کہ کوئی ثابت شدہ طریقے موجود نہیں ہیں اور اس سے پہلے کوئی پیش گوئی کی اطلاع موصول نہیں ہوئی تھی۔
98,زلزلے کی نگرانی کے نیٹ ورک کا کون سا نمائندہ تھا؟,زلزلے کی نگرانی کے نیٹ ورک کے نمائندے کا نام ارضیات دان ژا نگ شیاؤ ڈونگ تھا۔
98,آسٹریلیا میں زلزلے کے ماہر کا کیا نام تھا؟,آسٹریلیا میں زلزلے کے ماہر کا نام گیری گبسن تھا۔
99,زلزلے کا مرکز کہاں واقع تھا؟,زلزلے کا مرکز ننگوا تبتی اور کیانگ خود مختار پریفیچر میں تھا۔
99,یہ زلزلہ کب آیا؟,یہ زلزلہ 12 مئی 2008 کو 14:28:01.42 چین اسٹینڈرڈ ٹائم کے مطابق آیا۔
99,زلزلے کے نتیجے میں کتنی عمارتیں تباہ ہوئیں؟,زلزلے میں تقریباً 80 فیصد عمارتیں تباہ ہوگئیں۔
99,زلزلے کے نتیجے میں کتنے لوگوں کی موت ہوئی؟,"زلزلے میں 69,197 لوگوں کی موت کی تصدیق کی گئی۔"
99,زلزلے کے بعد بے گھر ہونے والے افراد کی تعداد کیا تھی؟,"زلزلے کے بعد تقریباً 4.8 ملین افراد بے گھر ہوگئے، حالانکہ یہ تعداد 11 ملین تک ہوسکتی ہے۔"
100,1976 کے تانگشان زلزلے کے بعد چین میں کتنے افراد ہلاک ہوئے؟,"کم از کم 240,000 افراد ہلاک ہوئے۔"
100,1976 کے زلزلے کے بعد چین میں یہ زلزلہ کس نمبر کا مہلک زلزلہ ہے؟,یہ اب تک کا 21 واں سب سے مہلک زلزلہ ہے۔
100,6 نومبر 2008 کو مرکزی حکومت نے زلزلے سے متاثرہ علاقوں کی تعمیر نو کے لیے کتنے پیسے خرچ کرنے کا اعلان کیا؟,انہوں نے اگلے تین سالوں میں 1 ٹریلین RMB (تقریباً 146.5 بلین امریکی ڈالر) خرچ کرنے کا اعلان کیا۔
100,زلزلے کے بعد بیجنگ اولمپک مشعل ریلے کے دوران کیا اعلان کیا گیا؟,اعلان کیا گیا کہ قومی صبح کے دوران ننگبو میں منعقد ہونے والی ریلے کو سوگ کی مدت کے لیے معطل کردیا جائے گا۔
100,زلزلے کے بعد ملک میں مشعل کے روٹ کو کیا کیا گیا؟,زلزلے کے بعد ملک میں مشعل کے روٹ کو کم کردیا گیا تھا۔
101,چینی اراضیات دان چن شوزونگ نے کب ایک زلزلے کے خطرے کے تجزیے کا مطالعہ شائع کیا؟,چینی اراضیات دان چن شوزونگ نے 2002 میں ایک زلزلے کے خطرے کے تجزیے کا مطالعہ شائع کیا۔
101,"چن شوزونگ کے مطالعے کے نتائج کے مطابق، کب سے سیچوان خطے میں 7.0 سے زیادہ شدت کے زلزلے کے امکانات پر توجہ دی جانی چاہیے؟","چن شوزونگ کے مطالعے کے نتائج کے مطابق، 2003 سے شروع ہو کر سیچوان خطے میں 7.0 سے زیادہ شدت کے زلزلے کے امکانات پر توجہ دی جانی چاہیے۔"
101,چن شوزونگ کے مطالعے کی بنیاد کس پر رکھی گئی؟,چن شوزونگ کے مطالعے کی بنیاد شماریاتی ارتباط پر رکھی گئی۔
